Billing Cycle,Enterprise Project,Enterprise Project ID,PayerAccount Name,Account Name,Service Type Code,Service Type,Resource Type Code,Resource Type,Product ID,Billing Mode,Bill Type,Resource ID,Resource Name,Resource Tag,SKU Code,Resource Specifications,Region Code,Region,AZ,Usage Type Code,Usage Type,Unit Price (USD),Unit,Usage,Usage Unit,Package Usage,Usage Type in Reserved Instances,List Price (USD),Discount (USD),Amount (USD),Cash Payment (USD),Cash Coupon Used (USD),Flexi-Purchase Coupon Used (USD),Monthly Settlement (USD),Written Off (USD),Order No./Transaction No.,Start Time,End Time,Spot Instance,Sub-resource ID,Sub-resource Name,Sub-resource Product Type,Sub-resource Product,Discount Type,Discount Subtype,Total Usage (Pricing Unit),Usage Unit (for Pricing),Package Usage (Pricing Unit),Usage in Reserved Instances (Pricing Unit),Conversion Factor,Combined Order No.,Amount Deducted from Savings Plan (USD),Savings Plan,Savings Plan Discount,Payment Option,Hourly Commitment (USD)
"Mar 2026","default","0","garudaku_topup","garudaku_topup","hws.service.type.vpc","Virtual Private Cloud","hws.resource.type.ip","Elastic IP Address","00301-51331-0--0","Pay-per-Use","Expenditure-use","ca1be814-c7af-4895-98de-b34d6075c10d","111.119.208.235","_sys_as_managed:true;","5_bgp","Public IP address","ap-southeast-3","AP-Singapore","AZ1","duration","Duration","0.005","Dollar/Hour","25.000000","Second","0","0","0.00003472","0.00","0.00003472","0.00","0.00","0.00","0.00003472","0.00",--,"03/13/2026 14:33:01 GMT+08:00","03/13/2026 14:33:26 GMT+08:00","N",--,--,--,--,--,--,"0.0069444444","Hour","0","0","3600",--,--,--,--,--,--
"Mar 2026","default","0","garudaku_topup","garudaku_topup","hws.service.type.vpc","Virtual Private Cloud","hws.resource.type.ip","Elastic IP Address","00301-51331-0--0","Pay-per-Use","Expenditure-use","7aecd311-1e38-4257-9ef2-8b6594ba691e","94.74.88.191","_sys_as_managed:true;","5_bgp","Public IP address","ap-southeast-3","AP-Singapore","AZ1","duration","Duration","0.005","Dollar/Hour","24.000000","Second","0","0","0.00003333","0.00","0.00003333","0.00","0.00","0.00","0.00003333","0.00",--,"03/11/2026 14:26:22 GMT+08:00","03/11/2026 14:26:46 GMT+08:00","N",--,--,--,--,--,--,"0.0066666666","Hour","0","0","3600",--,--,--,--,--,--
"Mar 2026","default","0","garudaku_topup","garudaku_topup","hws.service.type.vpc","Virtual Private Cloud","hws.resource.type.ip","Elastic IP Address","00301-51331-0--0","Pay-per-Use","Expenditure-use","1dff7e2e-5076-4b1a-b963-4fb9429670ee","188.239.59.248","_sys_as_managed:true;","5_bgp","Public IP address","ap-southeast-3","AP-Singapore","AZ1","duration","Duration","0.005","Dollar/Hour","24.000000","Second","0","0","0.00003333","0.00","0.00003333","0.00","0.00","0.00","0.00003333","0.00",--,"03/05/2026 18:16:02 GMT+08:00","03/05/2026 18:16:26 GMT+08:00","N",--,--,--,--,--,--,"0.0066666666","Hour","0","0","3600",--,--,--,--,--,--
"Mar 2026","default","0","garudaku_topup","garudaku_topup","hws.service.type.vpc","Virtual Private Cloud","hws.resource.type.ip","Elastic IP Address","00301-51331-0--0","Pay-per-Use","Expenditure-use","0f96bc38-7a38-4c00-bfe5-af28179caa20","188.239.48.245","_sys_as_managed:true;","5_bgp","Public IP address","ap-southeast-3","AP-Singapore","AZ1","duration","Duration","0.005","Dollar/Hour","25.000000","Second","0","0","0.00003472","0.00","0.00003472","0.00","0.00","0.00","0.00003472","0.00",--,"03/13/2026 17:31:01 GMT+08:00","03/13/2026 17:31:26 GMT+08:00","N",--,--,--,--,--,--,"0.0069444444","Hour","0","0","3600",--,--,--,--,--,--
"Mar 2026","default","0","garudaku_topup","garudaku_topup","hws.service.type.vpc","Virtual Private Cloud","hws.resource.type.bandwidth","Fixed Bandwidth","00301-51330-0--0","Pay-per-Use","Expenditure-use","fcbe29f9-c683-4a50-92f5-6fa84a90fa82","as-config-worker-store-20241030-001-NGW0CNQ7-bandwidth-0d0e",--,"12_bgp","Dynamic BGP|Traffic Bandwidth","ap-southeast-3","AP-Singapore","AZ1","upflow","Upstream bandwidth","0.114","Dollar/GB","298291616822.000000","Byte","0","0","31.66984793","0.00","31.66984793","0.00","0.00","0.00","31.66984793","0.00",--,"03/01/2026 00:00:00 GMT+08:00","04/01/2026 00:00:00 GMT+08:00","N",--,--,--,--,--,--,"277.8057165648","GB","0","0","1073741824",--,--,--,--,--,--
"Mar 2026","default","0","garudaku_topup","garudaku_topup","hws.service.type.vpc","Virtual Private Cloud","hws.resource.type.bandwidth","Fixed Bandwidth","00301-51330-0--0","Pay-per-Use","Expenditure-use","db247a54-260c-44bd-8936-2b207110becc","bandwidth-f121",--,"12_bgp","Dynamic BGP|Traffic Bandwidth","ap-southeast-3","AP-Singapore","AZ1","upflow","Upstream bandwidth","0.114","Dollar/GB","342937161543.000000","Byte","0","0","36.40990005","0.00","36.40990005","0.00","0.00","0.00","36.40990005","0.00",--,"03/01/2026 00:00:00 GMT+08:00","04/01/2026 00:00:00 GMT+08:00","N",--,--,--,--,--,--,"319.3851202195","GB","0","0","1073741824",--,--,--,--,--,--
"Mar 2026","default","0","garudaku_topup","garudaku_topup","hws.service.type.vpc","Virtual Private Cloud","hws.resource.type.bandwidth","Fixed Bandwidth","00301-51330-0--0","Pay-per-Use","Expenditure-use","cfe8b0d5-84d8-44ba-a321-ab25da223dd9","as-config-topup-api_20260223-002-2B0GGXVC-bandwidth-30b6","_sys_as_managed:true;","12_bgp","Dynamic BGP|Traffic Bandwidth","ap-southeast-3","AP-Singapore","AZ1","upflow","Upstream bandwidth","0.114","Dollar/GB","205643171.000000","Byte","0","0","0.02183272","0.00","0.02183272","0.00","0.00","0.00","0.02183272","0.00",--,"03/01/2026 00:00:00 GMT+08:00","03/05/2026 19:00:00 GMT+08:00","N",--,--,--,--,--,--,"0.1915201274","GB","0","0","1073741824",--,--,--,--,--,--
"Mar 2026","default","0","garudaku_topup","garudaku_topup","hws.service.type.vpc","Virtual Private Cloud","hws.resource.type.bandwidth","Fixed Bandwidth","00301-51330-0--0","Pay-per-Use","Expenditure-use","c843b4c2-c209-433d-a0f7-54942819c13b","WHITELIST-SERVER-bandwidth-8967",--,"12_bgp","Dynamic BGP|Traffic Bandwidth","ap-southeast-3","AP-Singapore","AZ1","upflow","Upstream bandwidth","0.114","Dollar/GB","13697583069.000000","Byte","0","0","1.45427928","0.00","1.45427928","0.00","0.00","0.00","1.45427928","0.00",--,"03/01/2026 00:00:00 GMT+08:00","04/01/2026 00:00:00 GMT+08:00","N",--,--,--,--,--,--,"12.7568683298","GB","0","0","1073741824",--,--,--,--,--,--
"Mar 2026","default","0","garudaku_topup","garudaku_topup","hws.service.type.vpc","Virtual Private Cloud","hws.resource.type.bandwidth","Fixed Bandwidth","00301-51330-0--0","Pay-per-Use","Expenditure-use","ab2fa22c-cb0e-411b-9974-0b04022ad32e","bandwidth-db-backend",--,"12_bgp","Dynamic BGP|Traffic Bandwidth","ap-southeast-3","AP-Singapore","AZ1","upflow","Upstream bandwidth","0.114","Dollar/GB","231445617623.000000","Byte","0","0","24.57275641","0.00","24.57275641","0.00","0.00","0.00","24.57275641","0.00",--,"03/01/2026 00:00:00 GMT+08:00","04/01/2026 00:00:00 GMT+08:00","N",--,--,--,--,--,--,"215.5505284881","GB","0","0","1073741824",--,--,--,--,--,--
"Mar 2026","default","0","garudaku_topup","garudaku_topup","hws.service.type.vpc","Virtual Private Cloud","hws.resource.type.bandwidth","Fixed Bandwidth","00301-51330-0--0","Pay-per-Use","Expenditure-use","9bf565d9-c7eb-4ac4-adae-b52c56c8f3a6","ecs-master-ssr-bandwidth-e090",--,"12_bgp","Dynamic BGP|Traffic Bandwidth","ap-southeast-3","AP-Singapore","AZ1","upflow","Upstream bandwidth","0.114","Dollar/GB","32375615739.000000","Byte","0","0","3.43734075","0.00","3.43734075","0.00","0.00","0.00","3.43734075","0.00",--,"03/04/2026 11:00:00 GMT+08:00","04/01/2026 00:00:00 GMT+08:00","N",--,--,--,--,--,--,"30.1521418048","GB","0","0","1073741824",--,--,--,--,--,--
"Mar 2026","default","0","garudaku_topup","garudaku_topup","hws.service.type.vpc","Virtual Private Cloud","hws.resource.type.bandwidth","Fixed Bandwidth","00301-51330-0--0","Pay-per-Use","Expenditure-use","56397a91-d0ac-428d-99bc-58f70d275378","Development-Server-bandwidth-c99f",--,"12_bgp","Dynamic BGP|Traffic Bandwidth","ap-southeast-3","AP-Singapore","AZ1","upflow","Upstream bandwidth","0.114","Dollar/GB","209912258012.000000","Byte","0","0","22.286543","0.00","22.286543","0.00","0.00","0.00","22.286543","0.00",--,"03/01/2026 00:00:00 GMT+08:00","04/01/2026 00:00:00 GMT+08:00","N",--,--,--,--,--,--,"195.496024575","GB","0","0","1073741824",--,--,--,--,--,--
"Mar 2026","default","0","garudaku_topup","garudaku_topup","hws.service.type.vpc","Virtual Private Cloud","hws.resource.type.bandwidth","Fixed Bandwidth","00301-51330-0--0","Pay-per-Use","Expenditure-use","41656caf-4b3d-4cca-8c00-75283ece110e","bandwidth-rds",--,"12_bgp","Dynamic BGP|Traffic Bandwidth","ap-southeast-3","AP-Singapore","AZ1","upflow","Upstream bandwidth","0.114","Dollar/GB","922639432.000000","Byte","0","0","0.0979535","0.00","0.0979535","0.00","0.00","0.00","0.0979535","0.00",--,"03/01/2026 00:00:00 GMT+08:00","04/01/2026 00:00:00 GMT+08:00","N",--,--,--,--,--,--,"0.8592749312","GB","0","0","1073741824",--,--,--,--,--,--
"Mar 2026","default","0","garudaku_topup","garudaku_topup","hws.service.type.vpc","Virtual Private Cloud","hws.resource.type.bandwidth","Fixed Bandwidth","00301-51330-0--0","Pay-per-Use","Expenditure-use","3cf9bdb5-5d32-4971-b456-201779eb3a06","as-config-topup-api_20250121-002-205X2GP5-bandwidth-68ec",--,"12_bgp","Dynamic BGP|Traffic Bandwidth","ap-southeast-3","AP-Singapore","AZ1","upflow","Upstream bandwidth","0.114","Dollar/GB","1435635760.000000","Byte","0","0","0.15241888","0.00","0.15241888","0.00","0.00","0.00","0.15241888","0.00",--,"03/01/2026 00:00:00 GMT+08:00","04/01/2026 00:00:00 GMT+08:00","N",--,--,--,--,--,--,"1.3370399922","GB","0","0","1073741824",--,--,--,--,--,--
"Mar 2026","default","0","garudaku_topup","garudaku_topup","hws.service.type.vpc","Virtual Private Cloud","hws.resource.type.bandwidth","Fixed Bandwidth","00301-51330-0--0","Pay-per-Use","Expenditure-use","3831065b-05c4-40e4-b5cf-37b495019a1f","as-config-topup-api_20260311-001-GPYSQ94Z-bandwidth-ff6a","_sys_as_managed:true;","12_bgp","Dynamic BGP|Traffic Bandwidth","ap-southeast-3","AP-Singapore","AZ1","upflow","Upstream bandwidth","0.114","Dollar/GB","2665086.000000","Byte","0","0","0.00028294","0.00","0.00028294","0.00","0.00","0.00","0.00028294","0.00",--,"03/13/2026 14:00:00 GMT+08:00","03/13/2026 18:00:00 GMT+08:00","N",--,--,--,--,--,--,"0.0024820547","GB","0","0","1073741824",--,--,--,--,--,--
"Mar 2026","default","0","garudaku_topup","garudaku_topup","hws.service.type.vpc","Virtual Private Cloud","hws.resource.type.bandwidth","Fixed Bandwidth","00301-51330-0--0","Pay-per-Use","Expenditure-use","2b51b7ae-e147-402d-9897-bc74fa631b3b","as-config-topup-api_20260310-001-D8TFP7L1-bandwidth-c2bf","_sys_as_managed:true;","12_bgp","Dynamic BGP|Traffic Bandwidth","ap-southeast-3","AP-Singapore","AZ1","upflow","Upstream bandwidth","0.114","Dollar/GB","66828811.000000","Byte","0","0","0.00709504","0.00","0.00709504","0.00","0.00","0.00","0.00709504","0.00",--,"03/11/2026 14:00:00 GMT+08:00","03/13/2026 15:00:00 GMT+08:00","N",--,--,--,--,--,--,"0.0622391803","GB","0","0","1073741824",--,--,--,--,--,--
"Mar 2026","default","0","garudaku_topup","garudaku_topup","hws.service.type.vpc","Virtual Private Cloud","hws.resource.type.bandwidth","Fixed Bandwidth","00301-51330-0--0","Pay-per-Use","Expenditure-use","21b41c56-3029-4b69-8c55-7e512a9d8e42","as-config-topup-api_20251002-001-1BMBTL88-bandwidth-07fa",--,"12_bgp","Dynamic BGP|Traffic Bandwidth","ap-southeast-3","AP-Singapore","AZ1","upflow","Upstream bandwidth","0.114","Dollar/GB","1820395701.000000","Byte","0","0","0.19326901","0.00","0.19326901","0.00","0.00","0.00","0.19326901","0.00",--,"03/01/2026 00:00:00 GMT+08:00","04/01/2026 00:00:00 GMT+08:00","N",--,--,--,--,--,--,"1.695375611","GB","0","0","1073741824",--,--,--,--,--,--
"Mar 2026","default","0","garudaku_topup","garudaku_topup","hws.service.type.vpc","Virtual Private Cloud","hws.resource.type.bandwidth","Fixed Bandwidth","00301-51330-0--0","Pay-per-Use","Expenditure-use","1aa76249-d556-4994-a6a3-24410e0f8027","as-config-topup-api_20260223-002-001-GJAY5VXZ-bandwidth-984d","_sys_as_managed:true;","12_bgp","Dynamic BGP|Traffic Bandwidth","ap-southeast-3","AP-Singapore","AZ1","upflow","Upstream bandwidth","0.114","Dollar/GB","175752526.000000","Byte","0","0","0.0186591","0.00","0.0186591","0.00","0.00","0.00","0.0186591","0.00",--,"03/05/2026 17:00:00 GMT+08:00","03/11/2026 15:00:00 GMT+08:00","N",--,--,--,--,--,--,"0.163682295","GB","0","0","1073741824",--,--,--,--,--,--
"Mar 2026","default","0","garudaku_topup","garudaku_topup","hws.service.type.vpc","Virtual Private Cloud","hws.resource.type.bandwidth","Fixed Bandwidth","00301-51330-0--0","Pay-per-Use","Expenditure-use","13af839b-f157-464d-b2de-d33180a2eec6","as-config-topup-api_20260313-001-IX3MH77J-bandwidth-a0bd","_sys_as_managed:true;","12_bgp","Dynamic BGP|Traffic Bandwidth","ap-southeast-3","AP-Singapore","AZ1","upflow","Upstream bandwidth","0.114","Dollar/GB","1318008339.000000","Byte","0","0","0.13993165","0.00","0.13993165","0.00","0.00","0.00","0.13993165","0.00",--,"03/13/2026 17:00:00 GMT+08:00","04/01/2026 00:00:00 GMT+08:00","N",--,--,--,--,--,--,"1.2274909196","GB","0","0","1073741824",--,--,--,--,--,--
"Mar 2026","default","0","garudaku_topup","garudaku_topup","hws.service.type.vpc","Virtual Private Cloud","hws.resource.type.bandwidth","Fixed Bandwidth","00301-51330-0--0","Pay-per-Use","Expenditure-use","0fbae067-2f7e-451d-9706-a9ab55bde6bc","platform-bandwidth-3581",--,"12_bgp","Dynamic BGP|Traffic Bandwidth","ap-southeast-3","AP-Singapore","AZ1","upflow","Upstream bandwidth","0.114","Dollar/GB","3105224765.000000","Byte","0","0","0.32968038","0.00","0.32968038","0.00","0.00","0.00","0.32968038","0.00",--,"03/01/2026 00:00:00 GMT+08:00","04/01/2026 00:00:00 GMT+08:00","N",--,--,--,--,--,--,"2.8919659228","GB","0","0","1073741824",--,--,--,--,--,--
"Mar 2026","default","0","garudaku_topup","garudaku_topup","hws.service.type.vpc","Virtual Private Cloud","hws.resource.type.bandwidth","Fixed Bandwidth","00301-51330-0--0","Pay-per-Use","Expenditure-use","0d787875-2a0d-42d5-96c9-f821564fe969","bandwidth-f22d",--,"12_bgp","Dynamic BGP|Traffic Bandwidth","ap-southeast-3","AP-Singapore","AZ1","upflow","Upstream bandwidth","0.114","Dollar/GB","16365992.000000","Byte","0","0","0.00173389","0.00","0.00173389","0.00","0.00","0.00","0.00173389","0.00",--,"03/01/2026 00:00:00 GMT+08:00","04/01/2026 00:00:00 GMT+08:00","N",--,--,--,--,--,--,"0.0152420178","GB","0","0","1073741824",--,--,--,--,--,--
