Billing Cycle,Enterprise Project,Enterprise Project ID,PayerAccount Name,Account Name,Service Type Code,Service Type,Resource Type Code,Resource Type,Product ID,Billing Mode,Bill Type,Resource ID,Resource Name,Resource Tag,SKU Code,Resource Specifications,Region Code,Region,AZ,Usage Type Code,Usage Type,Unit Price (USD),Unit,Usage,Usage Unit,Package Usage,Usage Type in Reserved Instances,List Price (USD),Discount (USD),Amount (USD),Cash Payment (USD),Cash Coupon Used (USD),Flexi-Purchase Coupon Used (USD),Monthly Settlement (USD),Written Off (USD),Order No./Transaction No.,Start Time,End Time,Spot Instance,Sub-resource ID,Sub-resource Name,Sub-resource Product Type,Sub-resource Product,Discount Type,Discount Subtype,Total Usage (Pricing Unit),Usage Unit (for Pricing),Package Usage (Pricing Unit),Usage in Reserved Instances (Pricing Unit),Conversion Factor,Combined Order No.,Amount Deducted from Savings Plan (USD),Savings Plan,Savings Plan Discount,Payment Option,Hourly Commitment (USD)
"Mar 2026","default","0","garudaku_topup","garudaku_topup","hws.service.type.rds","Relational Database Service","hws.resource.type.rds.volume","RDS Elastic Volume Service","OFFI591531463913160712","Pay-per-Use","Expenditure-use","e7870525ab2a4389a5bbae250ba6962bin01.volume","rds-topup",--,"rds.mysql.volume.cloudssd.ha","RDS Primary|Standby Storage|Cloud SSD|1300GB","ap-southeast-3","AP-Singapore","AZ1,AZ5","Duration","Duration","0.00056","Dollar/GB/Hour","2678400.000000","Second","0","0","541.632","0.00","541.632","0.00","0.00","0.00","541.632","0.00",--,"03/01/2026 00:00:00 GMT+08:00","04/01/2026 00:00:00 GMT+08:00","N",--,--,--,--,--,--,"744","Hour","0","0","3600",--,--,--,--,--,--
"Mar 2026","default","0","garudaku_topup","garudaku_topup","hws.service.type.rds","Relational Database Service","hws.resource.type.rds.volume","RDS Elastic Volume Service","OFFI591531463913160709","Pay-per-Use","Expenditure-use","43a6a3a1221e48c3b6625e06292708e8in01.volume","khusus-worker",--,"rds.mysql.volume.cloudssd.rr","RDS Read Replica Storage|Cloud SSD|1560GB","ap-southeast-3","AP-Singapore","AZ1","Duration","Duration","0.00028","Dollar/GB/Hour","2678400.000000","Second","0","0","324.9792","0.00","324.9792","0.00","0.00","0.00","324.9792","0.00",--,"03/01/2026 00:00:00 GMT+08:00","04/01/2026 00:00:00 GMT+08:00","N",--,--,--,--,--,--,"744","Hour","0","0","3600",--,--,--,--,--,--
"Mar 2026","default","0","garudaku_topup","garudaku_topup","hws.service.type.rds","Relational Database Service","hws.resource.type.rds.volume","RDS Elastic Volume Service","OFFI591531463913160709","Pay-per-Use","Expenditure-use","1dd61e28f26d48dfa8f181e84d0c856din01.volume","khusus-front-2",--,"rds.mysql.volume.cloudssd.rr","RDS Read Replica Storage|Cloud SSD|1560GB","ap-southeast-3","AP-Singapore","AZ1","Duration","Duration","0.00028","Dollar/GB/Hour","3229.000000","Second","0","0","0.39178533","0.00","0.39178533","0.00","0.00","0.00","0.39178533","0.00",--,"03/31/2026 23:06:11 GMT+08:00","04/01/2026 00:00:00 GMT+08:00","N",--,--,--,--,--,--,"0.8969444444","Hour","0","0","3600",--,--,--,--,--,--
"Mar 2026","default","0","garudaku_topup","garudaku_topup","hws.service.type.rds","Relational Database Service","hws.resource.type.rds.volume","RDS Elastic Volume Service","OFFI591531463913160709","Pay-per-Use","Expenditure-use","1dd61e28f26d48dfa8f181e84d0c856din01.volume","khusus-front-2",--,"rds.mysql.volume.cloudssd.rr","RDS Read Replica Storage|Cloud SSD|1300GB","ap-southeast-3","AP-Singapore","AZ1","Duration","Duration","0.00028","Dollar/GB/Hour","2675171.000000","Second","0","0","270.48951222","0.00","270.48951222","0.00","0.00","0.00","270.48951222","0.00",--,"03/01/2026 00:00:00 GMT+08:00","03/31/2026 23:06:11 GMT+08:00","N",--,--,--,--,--,--,"743.1030555555","Hour","0","0","3600",--,--,--,--,--,--
"Mar 2026","default","0","garudaku_topup","garudaku_topup","hws.service.type.rds","Relational Database Service","hws.resource.type.rds.vm","RDS DB Instance VM","OFFI632173963969916940","Pay-per-Use","Expenditure-use","e7870525ab2a4389a5bbae250ba6962bin01.vm","rds-topup",--,"rds.mysql.x1.8xlarge.2.ha","MySQL HA|exclusivessd|32vCPUs|64GB","ap-southeast-3","AP-Singapore","AZ1,AZ5","Duration","Duration","3.87","Dollar/Hour","2678400.000000","Second","0","0","2,879.28","0.00","2,879.28","0.00","0.00","0.00","2,879.28","0.00",--,"03/01/2026 00:00:00 GMT+08:00","04/01/2026 00:00:00 GMT+08:00","N",--,--,--,--,--,--,"744","Hour","0","0","3600",--,--,--,--,--,--
"Mar 2026","default","0","garudaku_topup","garudaku_topup","hws.service.type.rds","Relational Database Service","hws.resource.type.rds.vm","RDS DB Instance VM","OFFI591538060232146949","Pay-per-Use","Expenditure-use","43a6a3a1221e48c3b6625e06292708e8in01.vm","khusus-worker",--,"rds.mysql.x1.xlarge.4.rr","MySQL Readonly|exclusivessd|4vCPUs|16GB","ap-southeast-3","AP-Singapore","AZ1","Duration","Duration","0.295","Dollar/Hour","2678400.000000","Second","0","0","219.48","0.00","219.48","0.00","0.00","0.00","219.48","0.00",--,"03/01/2026 00:00:00 GMT+08:00","04/01/2026 00:00:00 GMT+08:00","N",--,--,--,--,--,--,"744","Hour","0","0","3600",--,--,--,--,--,--
"Mar 2026","default","0","garudaku_topup","garudaku_topup","hws.service.type.rds","Relational Database Service","hws.resource.type.rds.vm","RDS DB Instance VM","OFFI1102173225422766092","Pay-per-Use","Expenditure-use","1dd61e28f26d48dfa8f181e84d0c856din01.vm","khusus-front-2",--,"rds.mysql.x1-v2.xlarge.4.rr","MySQL|Read replica|Dedicated 2.0|4vCPUs|16GB","ap-southeast-3","AP-Singapore","AZ1","Duration","Duration","0.447","Dollar/Hour","2678400.000000","Second","0","0","332.568","0.00","332.568","0.00","0.00","0.00","332.568","0.00",--,"03/01/2026 00:00:00 GMT+08:00","04/01/2026 00:00:00 GMT+08:00","N",--,--,--,--,--,--,"744","Hour","0","0","3600",--,--,--,--,--,--
"Mar 2026","default","0","garudaku_topup","garudaku_topup","hws.service.type.rds","Relational Database Service","hws.resource.type.rds.instance","RDS Instance","00301-57344-0--0","Pay-per-Use","Expenditure-use","e7870525ab2a4389a5bbae250ba6962bin01","rds-topup",--,"rds.mysql.instance","rds|instance|Mysql","ap-southeast-3","AP-Singapore","AZ1,AZ5","architecture","architecture","0.00","Dollar/Number","744.000000","Number","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",--,"03/01/2026 00:00:00 GMT+08:00","04/01/2026 00:00:00 GMT+08:00","N",--,--,--,--,--,--,"744","Number","0","0","1",--,--,--,--,--,--
"Mar 2026","default","0","garudaku_topup","garudaku_topup","hws.service.type.rds","Relational Database Service","hws.resource.type.rds.instance","RDS Instance","00301-57344-0--0","Pay-per-Use","Expenditure-use","43a6a3a1221e48c3b6625e06292708e8in01","khusus-worker",--,"rds.mysql.instance","rds|instance|Mysql","ap-southeast-3","AP-Singapore","AZ1","architecture","architecture","0.00","Dollar/Number","744.000000","Number","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",--,"03/01/2026 00:00:00 GMT+08:00","04/01/2026 00:00:00 GMT+08:00","N",--,--,--,--,--,--,"744","Number","0","0","1",--,--,--,--,--,--
"Mar 2026","default","0","garudaku_topup","garudaku_topup","hws.service.type.rds","Relational Database Service","hws.resource.type.rds.instance","RDS Instance","00301-57344-0--0","Pay-per-Use","Expenditure-use","1dd61e28f26d48dfa8f181e84d0c856din01","khusus-front-2",--,"rds.mysql.instance","rds|instance|Mysql","ap-southeast-3","AP-Singapore","AZ1","architecture","architecture","0.00","Dollar/Number","744.000000","Number","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",--,"03/01/2026 00:00:00 GMT+08:00","04/01/2026 00:00:00 GMT+08:00","N",--,--,--,--,--,--,"744","Number","0","0","1",--,--,--,--,--,--
